tick,tick_dt,input_force,output_ang_vel,output_angle,output_position,output_speed
139.0,0.00976647436618805,1.1027104523465812e-06,-3.508546572010192e-07,4.866660406680031e-08,1.5633905999960167e-07,4.4960571925501107e-07
140.0,0.010777236893773079,2.9663901855524014e-05,-2.6486211579777893e-06,4.488536031086138e-08,1.6118456734480815e-07,-9.167350219877675e-07
141.0,0.009733788669109344,4.744394419551807e-05,4.908579405376397e-07,1.9104241694573903e-08,1.5226126237520792e-07,1.8677709720984075e-07
142.0,0.009554457850754261,-9.782815457884173e-07,-7.818031894563553e-07,2.3794123198148823e-08,1.5404581627798557e-07,1.6745420332249417e-07
143.0,0.011329913511872292,3.4740099614343246e-05,7.165780766950773e-07,1.493636067830241e-08,1.559430579188289e-07,6.226806715733327e-07
144.0,0.010405094362795353,8.985035680213439e-06,1.9977350509411547e-06,2.2392423184625097e-08,1.624221090644382e-07,8.289371672325985e-07
145.0,0.01081806980073452,-2.1169988448210977e-05,-2.90441916863921e-07,4.400406040908044e-08,1.7138960919998362e-07,3.726265232861196e-07
146.0,0.010352225042879581,2.6540081556029366e-05,1.8699375985627216e-08,4.0997340323819805e-08,1.7524712282598733e-07,2.331091361915518e-07
147.0,0.018549312837421894,1.3104930501214517e-05,-6.052696914491075e-07,4.134420089884178e-08,1.795711371184656e-07,1.7349838272985366e-07
148.0,0.010364873334765434,2.922949296471898e-05,4.422360469303393e-06,3.507065721359922e-08,1.813694258792472e-07,7.506368365145097e-07
149.0,0.010619998909533024,-9.467013708973929e-05,-6.126390075183643e-06,8.203612057516321e-08,1.8934118826448662e-07,-1.2555242251271021e-06
150.0,0.01064057182520628,0.00013313814834371276,-1.3471544392784208e-06,1.6847826950940766e-08,1.7598169256873523e-07,-2.790017282975982e-07
151.0,0.017085425555706024,3.7021642038065816e-05,-5.935846417409963e-07,-6.168879933389586e-09,1.712148293099933e-07,-6.863198600150579e-08
152.0,0.009728454984724522,2.5267215840822344e-05,3.133113980926556e-06,-1.19435414001907e-08,1.705471461236654e-07,3.7295181687888576e-07
153.0,0.01026261504739523,-6.605460772678728e-05,-5.9673071227158765e-06,2.0210401285670536e-08,1.7437460705152004e-07,-9.840203868492937e-07
154.0,0.009751158766448498,0.0001448370773018955,1.8575676924005243e-06,-3.7977757876090945e-08,1.647792680299305e-07,1.0431524970496577e-06
155.0,0.010633794590830803,-2.0555755130755027e-06,6.745299783241254e-07,-1.8224764596540192e-08,1.7587193741046882e-07,5.757616347483191e-07
156.0,0.00960404984652996,1.3576612126380911e-05,1.2570136916002272e-06,-1.1746545061736519e-08,1.8140158085031124e-07,7.434445585104532e-07
157.0,0.010162098333239555,2.3272863948684664e-06,2.0349542358446942e-07,1.0273516785334516e-09,1.8895653755920634e-07,7.815633457199887e-07
158.0,0.01052133273333311,3.315142265638917e-05,1.3039898767440323e-06,3.1683947397762163e-09,1.971796255717034e-07,8.030364964214359e-07
159.0,0.009077982977032661,2.263824519773734e-06,9.085086067794758e-07,1.5005992643081462e-08,2.0446957721615312e-07,6.081365977520018e-07
160.0,0.0101760970428586,5.673884301787969e-06,-4.61133928676756e-07,2.4251064389941673e-08,2.1065803425019137e-07,6.821125702262914e-07
161.0,0.010530313476920128,4.729620991496802e-05,2.885865911501931e-06,1.9395179566131706e-08,2.178408934412219e-07,1.4404861174075498e-06
